text,template,medium_word,content_word,style_word,seed
a painting of a person in the Pop Art style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Pop Art,19
a painting of a person in the Post Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Post Impressionism,20
a painting of a person in the Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Realism,21
a painting of a person in the Rococo style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Rococo,22
a painting of a person in the Romanticism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Romanticism,23
a painting of a person in the Symbolism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Symbolism,24
a painting of a person in the Synthetic Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Synthetic Cubism,25
a painting of a person in the Ukiyo e style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Ukiyo e,26
a painting of a person in the Albrecht Durer style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Albrecht Durer,27
a painting of a person in the Boris Kustodiev style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Boris Kustodiev,28
a painting of a person in the Camille Pissarro style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Camille Pissarro,29
a painting of a person in the Childe Hassam style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Childe Hassam,30
a painting of a person in the Claude Monet style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Claude Monet,31
a painting of a person in the Edgar Degas style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Edgar Degas,32
a painting of a person in the Eugene Boudin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Eugene Boudin,33
a painting of a person in the Gustave Dore style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Gustave Dore,34
a painting of a person in the Ilya Repin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Ilya Repin,35
a painting of a person in the Ivan Aivazovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Ivan Aivazovsky,36
a painting of a person in the Ivan Shishkin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Ivan Shishkin,37
a painting of a person in the John Singer Sargent style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,John Singer Sargent,38
a painting of a person in the Marc Chagall style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Marc Chagall,39
a painting of a person in the Martiros Saryan style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Martiros Saryan,40
a painting of a person in the Nicholas Roerich style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Nicholas Roerich,41
a painting of a person in the Pablo Picasso style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Pablo Picasso,42
a painting of a person in the Paul Cezanne style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Paul Cezanne,43
a painting of a person in the Pierre Auguste Renoir style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Pierre Auguste Renoir,44
a painting of a person in the Pyotr Konchalovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Pyotr Konchalovsky,45
a painting of a person in the Raphael Kirchner style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Raphael Kirchner,46
a painting of a person in the Rembrandt style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Rembrandt,47
a painting of a person in the Salvador Dali style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Salvador Dali,48
a painting of a person in the Vincent van Gogh style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Vincent van Gogh,49
a painting of a bicycle in the Abstract Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Abstract Expressionism,50
a painting of a bicycle in the Action painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Action painting,51
a painting of a bicycle in the Analytical Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Analytical Cubism,52
a painting of a bicycle in the Art Nouveau style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Art Nouveau,53
a painting of a bicycle in the Baroque style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Baroque,54
a painting of a bicycle in the Color Field Painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Color Field Painting,55
a painting of a bicycle in the Contemporary Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Contemporary Realism,56
a painting of a bicycle in the Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Cubism,57
a painting of a bicycle in the Early Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Early Renaissance,58
a painting of a bicycle in the Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Expressionism,59
a painting of a bicycle in the Fauvism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Fauvism,60
a painting of a bicycle in the High Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,High Renaissance,61
a painting of a bicycle in the Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Impressionism,62
a painting of a bicycle in the Mannerism Late Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Mannerism Late Renaissance,63
a painting of a bicycle in the Minimalism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Minimalism,64
a painting of a bicycle in the Naive Art Primitivism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Naive Art Primitivism,65
a painting of a bicycle in the New Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,New Realism,66
a painting of a bicycle in the Northern Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Northern Renaissance,67
a painting of a bicycle in the Pointillism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Pointillism,68
a painting of a bicycle in the Pop Art style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Pop Art,69
a painting of a bicycle in the Post Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Post Impressionism,70
a painting of a bicycle in the Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Realism,71
a painting of a bicycle in the Rococo style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Rococo,72
a painting of a bicycle in the Romanticism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Romanticism,73
a painting of a bicycle in the Symbolism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Symbolism,74
a painting of a bicycle in the Synthetic Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Synthetic Cubism,75
a painting of a bicycle in the Ukiyo e style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Ukiyo e,76
a painting of a bicycle in the Albrecht Durer style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Albrecht Durer,77
a painting of a bicycle in the Boris Kustodiev style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Boris Kustodiev,78
a painting of a bicycle in the Camille Pissarro style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Camille Pissarro,79
a painting of a bicycle in the Childe Hassam style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Childe Hassam,80
a painting of a bicycle in the Claude Monet style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Claude Monet,81
a painting of a bicycle in the Edgar Degas style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Edgar Degas,82
a painting of a bicycle in the Eugene Boudin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Eugene Boudin,83
a painting of a bicycle in the Gustave Dore style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Gustave Dore,84
a painting of a bicycle in the Ilya Repin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Ilya Repin,85
a painting of a bicycle in the Ivan Aivazovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Ivan Aivazovsky,86
a painting of a bicycle in the Ivan Shishkin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Ivan Shishkin,87
a painting of a bicycle in the John Singer Sargent style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,John Singer Sargent,88
a painting of a bicycle in the Marc Chagall style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Marc Chagall,89
a painting of a bicycle in the Martiros Saryan style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Martiros Saryan,90
a painting of a bicycle in the Nicholas Roerich style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Nicholas Roerich,91
a painting of a bicycle in the Pablo Picasso style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Pablo Picasso,92
a painting of a bicycle in the Paul Cezanne style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Paul Cezanne,93
a painting of a bicycle in the Pierre Auguste Renoir style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Pierre Auguste Renoir,94
a painting of a bicycle in the Pyotr Konchalovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Pyotr Konchalovsky,95
a painting of a bicycle in the Raphael Kirchner style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Raphael Kirchner,96
a painting of a bicycle in the Rembrandt style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Rembrandt,97
a painting of a bicycle in the Salvador Dali style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Salvador Dali,98
a painting of a bicycle in the Vincent van Gogh style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,bicycle,Vincent van Gogh,99
a painting of a car in the Abstract Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Abstract Expressionism,100
a painting of a car in the Action painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Action painting,101
a painting of a car in the Analytical Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Analytical Cubism,102
a painting of a car in the Art Nouveau style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Art Nouveau,103
a painting of a car in the Baroque style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Baroque,104
a painting of a car in the Color Field Painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Color Field Painting,105
a painting of a car in the Contemporary Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Contemporary Realism,106
a painting of a car in the Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Cubism,107
a painting of a car in the Early Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Early Renaissance,108
a painting of a car in the Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Expressionism,109
a painting of a car in the Fauvism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Fauvism,110
a painting of a car in the High Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,High Renaissance,111
a painting of a car in the Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Impressionism,112
a painting of a car in the Mannerism Late Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Mannerism Late Renaissance,113
a painting of a car in the Minimalism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Minimalism,114
a painting of a car in the Naive Art Primitivism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Naive Art Primitivism,115
a painting of a car in the New Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,New Realism,116
a painting of a car in the Northern Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Northern Renaissance,117
a painting of a car in the Pointillism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Pointillism,118
a painting of a car in the Pop Art style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Pop Art,119
a painting of a car in the Post Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Post Impressionism,120
a painting of a car in the Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Realism,121
a painting of a car in the Rococo style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Rococo,122
a painting of a car in the Romanticism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Romanticism,123
a painting of a car in the Symbolism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Symbolism,124
a painting of a car in the Synthetic Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Synthetic Cubism,125
a painting of a car in the Ukiyo e style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Ukiyo e,126
a painting of a car in the Albrecht Durer style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Albrecht Durer,127
a painting of a car in the Boris Kustodiev style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Boris Kustodiev,128
a painting of a car in the Camille Pissarro style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Camille Pissarro,129
a painting of a car in the Childe Hassam style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Childe Hassam,130
a painting of a car in the Claude Monet style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Claude Monet,131
a painting of a car in the Edgar Degas style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Edgar Degas,132
a painting of a car in the Eugene Boudin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Eugene Boudin,133
a painting of a car in the Gustave Dore style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Gustave Dore,134
a painting of a car in the Ilya Repin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Ilya Repin,135
a painting of a car in the Ivan Aivazovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Ivan Aivazovsky,136
a painting of a car in the Ivan Shishkin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Ivan Shishkin,137
a painting of a car in the John Singer Sargent style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,John Singer Sargent,138
a painting of a car in the Marc Chagall style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Marc Chagall,139
a painting of a car in the Martiros Saryan style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Martiros Saryan,140
a painting of a car in the Nicholas Roerich style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Nicholas Roerich,141
a painting of a car in the Pablo Picasso style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Pablo Picasso,142
a painting of a car in the Paul Cezanne style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Paul Cezanne,143
a painting of a car in the Pierre Auguste Renoir style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Pierre Auguste Renoir,144
a painting of a car in the Pyotr Konchalovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Pyotr Konchalovsky,145
a painting of a car in the Raphael Kirchner style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Raphael Kirchner,146
a painting of a car in the Rembrandt style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Rembrandt,147
a painting of a car in the Salvador Dali style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Salvador Dali,148
a painting of a car in the Vincent van Gogh style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,car,Vincent van Gogh,149
a painting of a motorcycle in the Abstract Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Abstract Expressionism,150
a painting of a motorcycle in the Action painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Action painting,151
a painting of a motorcycle in the Analytical Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Analytical Cubism,152
a painting of a motorcycle in the Art Nouveau style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Art Nouveau,153
a painting of a motorcycle in the Baroque style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Baroque,154
a painting of a motorcycle in the Color Field Painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Color Field Painting,155
a painting of a motorcycle in the Contemporary Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Contemporary Realism,156
a painting of a motorcycle in the Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Cubism,157
a painting of a motorcycle in the Early Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Early Renaissance,158
a painting of a motorcycle in the Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Expressionism,159
a painting of a motorcycle in the Fauvism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Fauvism,160
a painting of a motorcycle in the High Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,High Renaissance,161
a painting of a motorcycle in the Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Impressionism,162
a painting of a motorcycle in the Mannerism Late Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Mannerism Late Renaissance,163
a painting of a motorcycle in the Minimalism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Minimalism,164
a painting of a motorcycle in the Naive Art Primitivism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Naive Art Primitivism,165
a painting of a motorcycle in the New Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,New Realism,166
a painting of a motorcycle in the Northern Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Northern Renaissance,167
a painting of a motorcycle in the Pointillism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Pointillism,168
a painting of a motorcycle in the Pop Art style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Pop Art,169
a painting of a motorcycle in the Post Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Post Impressionism,170
a painting of a motorcycle in the Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Realism,171
a painting of a motorcycle in the Rococo style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Rococo,172
a painting of a motorcycle in the Romanticism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Romanticism,173
a painting of a motorcycle in the Symbolism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Symbolism,174
a painting of a motorcycle in the Synthetic Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Synthetic Cubism,175
a painting of a motorcycle in the Ukiyo e style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Ukiyo e,176
a painting of a motorcycle in the Albrecht Durer style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Albrecht Durer,177
a painting of a motorcycle in the Boris Kustodiev style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Boris Kustodiev,178
a painting of a motorcycle in the Camille Pissarro style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Camille Pissarro,179
a painting of a motorcycle in the Childe Hassam style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Childe Hassam,180
a painting of a motorcycle in the Claude Monet style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Claude Monet,181
a painting of a motorcycle in the Edgar Degas style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Edgar Degas,182
a painting of a motorcycle in the Eugene Boudin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Eugene Boudin,183
a painting of a motorcycle in the Gustave Dore style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Gustave Dore,184
a painting of a motorcycle in the Ilya Repin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Ilya Repin,185
a painting of a motorcycle in the Ivan Aivazovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Ivan Aivazovsky,186
a painting of a motorcycle in the Ivan Shishkin style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Ivan Shishkin,187
a painting of a motorcycle in the John Singer Sargent style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,John Singer Sargent,188
a painting of a motorcycle in the Marc Chagall style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Marc Chagall,189
a painting of a motorcycle in the Martiros Saryan style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Martiros Saryan,190
a painting of a motorcycle in the Nicholas Roerich style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Nicholas Roerich,191
a painting of a motorcycle in the Pablo Picasso style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Pablo Picasso,192
a painting of a motorcycle in the Paul Cezanne style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Paul Cezanne,193
a painting of a motorcycle in the Pierre Auguste Renoir style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Pierre Auguste Renoir,194
a painting of a motorcycle in the Pyotr Konchalovsky style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Pyotr Konchalovsky,195
a painting of a motorcycle in the Raphael Kirchner style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Raphael Kirchner,196
a painting of a motorcycle in the Rembrandt style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Rembrandt,197
a painting of a motorcycle in the Salvador Dali style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Salvador Dali,198
a painting of a motorcycle in the Vincent van Gogh style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,motorcycle,Vincent van Gogh,199
a painting of a airplane in the Abstract Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Abstract Expressionism,200
a painting of a airplane in the Action painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Action painting,201
a painting of a airplane in the Analytical Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Analytical Cubism,202
a painting of a airplane in the Art Nouveau style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Art Nouveau,203
a painting of a airplane in the Baroque style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Baroque,204
a painting of a airplane in the Color Field Painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Color Field Painting,205
a painting of a airplane in the Contemporary Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Contemporary Realism,206
a painting of a airplane in the Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Cubism,207
a painting of a airplane in the Early Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Early Renaissance,208
a painting of a airplane in the Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Expressionism,209
a painting of a airplane in the Fauvism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Fauvism,210
a painting of a airplane in the High Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,High Renaissance,211
a painting of a airplane in the Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Impressionism,212
a painting of a airplane in the Mannerism Late Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Mannerism Late Renaissance,213
a painting of a airplane in the Minimalism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Minimalism,214
a painting of a airplane in the Naive Art Primitivism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Naive Art Primitivism,215
a painting of a airplane in the New Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,New Realism,216
a painting of a airplane in the Northern Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Northern Renaissance,217
a painting of a airplane in the Pointillism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,airplane,Pointillism,218
